disease_stage,CELF1_mRNA_z-scores
primary,7.80E-01
primary,8.60E-01
primary,9.20E-01
primary,-6.00E-01
primary,-7.40E-01
primary,2.40E-01
primary,1.90E-01
primary,-7.60E-01
primary,-1.60E+00
primary,4.30E-01
primary,-1.70E-01
primary,-2.10E-01
primary,-2.80E-01
primary,-2.30E+00
primary,9.70E-02
primary,3.80E-02
primary,-4.80E-01
primary,8.90E-01
primary,4.80E-01
primary,-9.20E-01
primary,2.10E-01
primary,1.40E-01
primary,-2.40E-01
primary,-1.00E+00
primary,-9.10E-01
primary,-1.20E-02
primary,-6.00E-01
primary,6.00E-01
primary,-2.60E-01
primary,-2.30E+00
primary,-6.80E-01
primary,-2.10E+00
primary,-1.90E+00
primary,-3.00E+00
primary,-1.40E+00
primary,-4.90E-01
primary,-6.10E-01
primary,-2.80E-01
primary,-2.00E+00
primary,2.60E-01
primary,-2.60E-01
primary,-2.30E+00
primary,-2.20E-01
primary,-1.70E+00
primary,-9.30E-01
primary,-2.50E-01
primary,-4.40E-01
primary,-1.70E-01
primary,-1.20E+00
primary,-1.60E+00
primary,-3.00E+00
primary,-1.70E+00
primary,3.90E-01
primary,4.40E-01
primary,-9.40E-01
primary,-1.30E+00
primary,-2.80E+00
primary,-6.40E-01
primary,-9.40E-01
primary,-1.70E+00
primary,-1.20E+00
primary,-8.40E-01
primary,1.30E+00
primary,7.30E-01
primary,-1.20E+00
primary,-1.10E-01
primary,-4.20E-01
primary,-1.70E+00
primary,-3.20E-01
primary,-7.50E-01
primary,1.40E-02
primary,-5.20E-01
primary,-9.80E-01
primary,-6.90E-01
primary,-3.30E-02
primary,-9.10E-01
primary,-1.90E+00
primary,-1.50E+00
primary,-6.50E-01
primary,-1.40E+00
primary,-5.90E-01
primary,-1.20E+00
primary,4.80E-01
primary,-5.90E-02
primary,-1.30E-01
primary,-4.40E-01
primary,-1.60E+00
primary,-8.40E-01
primary,-7.10E-01
primary,-4.50E-01
primary,-8.40E-01
primary,-3.20E-01
primary,-1.60E+00
primary,-9.50E-01
primary,-1.30E+00
primary,1.40E+00
primary,1.10E+00
primary,-1.60E+00
primary,-9.60E-02
primary,1.50E+00
met,7.80E-01
met,2.00E+00
met,9.30E-01
met,9.90E-01
met,1.60E+00
met,2.00E+00
met,1.10E+00
met,3.80E+00
met,8.60E-01
met,1.70E+00
met,1.70E+00
met,1.40E+00
met,1.40E+00
met,2.70E+00
met,-2.80E-01
met,4.00E+00
met,1.30E+00
met,1.30E+00
met,1.10E+00
met,2.10E+00
met,1.90E+00
met,-2.40E+00
met,2.40E+00
met,9.70E-01
met,3.40E+00
met,1.60E+00
met,9.80E-01
met,2.40E+00
met,-1.60E+00
met,2.60E+00
met,2.10E-01
met,-1.00E+00
met,-6.30E-02
met,1.20E+00
met,9.30E-01
met,6.60E-02
met,-9.00E-02
met,1.80E+00
met,1.20E-01
met,1.60E+00
met,-1.10E+00
met,-5.30E-01
met,1.90E+00
met,5.60E-01
met,5.50E-01
met,1.80E+00
met,8.80E-01
met,1.50E+00
met,1.70E+00
met,1.20E+00
met,-6.20E-01
met,-2.20E-02
met,1.60E+00
met,1.70E+00
met,1.10E+00
met,1.80E-01
met,1.40E+00
met,3.10E-01
met,9.60E-01
met,5.60E-01
met,1.00E+00
met,2.80E+00
met,2.70E+00
met,-2.20E-01
met,1.00E+00
met,2.10E+00
met,4.10E-02
met,-2.70E-01
met,2.70E+00
met,-5.60E-01
met,1.80E+00
met,-3.70E-01
met,2.80E+00
met,2.80E+00
met,1.90E+00
met,1.80E+00
met,2.20E+00
met,2.70E+00
met,2.80E+00
met,1.40E+00
met,2.70E+00
met,1.30E+00
met,3.80E-01
met,7.20E-01
met,-1.40E+00
met,1.10E+00
met,6.20E-01
met,-1.30E+00
met,1.30E+00
met,-5.20E-01
met,2.40E+00
met,2.60E+00
met,1.90E+00
met,5.30E-01
met,-9.20E-03
met,7.70E-01
met,1.10E+00
met,4.10E+00
met,3.70E-01
met,1.60E+00
met,-5.20E-01
met,-1.10E-01
met,1.60E-01
met,1.50E+00
met,3.50E-01
met,1.50E+00
met,1.50E+00
met,3.10E+00
met,3.70E-01
met,-1.80E-01
met,3.00E-01
met,1.40E+00
met,-9.10E-02
met,1.60E+00
met,-5.60E-01
met,5.70E-01
met,2.80E+00
met,1.00E+00
met,1.30E+00
met,2.60E+00
met,9.60E-01
met,4.20E-01
met,-7.10E-02
met,6.60E-01
met,-1.40E-01
met,3.10E+00
met,1.50E+00
met,1.70E+00
met,2.50E+00
met,2.00E+00
met,2.10E+00
met,1.10E+00
met,1.10E+00
met,2.50E+00
met,2.70E+00
met,2.80E+00
met,2.00E+00
met,2.00E+00
met,3.30E-01
met,1.50E+00
met,-7.20E-02
met,8.30E-01
met,-9.00E-01
met,3.30E+00
met,1.40E+00
met,2.60E+00
met,4.70E-01
met,1.60E+00
met,1.50E+00
met,2.30E-01
met,-6.20E-01
met,1.50E+00
met,-6.80E-01
met,-6.50E-01
met,3.90E-01
met,-1.50E+00
met,1.50E+00
met,1.50E+00
met,-1.90E-02
met,1.30E+00
met,2.70E+00
met,9.20E-01
met,1.10E+00
met,2.90E+00
met,1.80E+00
met,2.00E+00
met,-4.20E-01
met,1.60E+00
met,1.80E-02
met,2.50E+00
met,1.20E+00
met,7.50E-01
met,9.00E-01
met,6.20E-01
met,-7.20E-01
met,5.20E-01
met,1.10E+00
met,2.10E+00
met,7.30E-01
met,7.40E-01
met,1.50E+00
met,3.20E+00
met,9.20E-01
met,7.30E-01
met,5.00E-01
met,4.20E-01
met,1.00E+00
met,9.00E-02
met,1.60E+00
met,8.20E-01
met,2.30E+00
met,2.00E+00
met,7.90E-01
met,1.00E+00
met,5.90E-01
met,1.60E+00
met,2.00E+00
met,1.80E+00
met,1.50E+00
met,2.40E+00