cell_line,experimental_day,CELF_depletion,fold_growth
Sk-Mel-103,5,shControl,1
Sk-Mel-103,5,shControl,2
Sk-Mel-103,5,shControl,1
Sk-Mel-103,6,shControl,3
Sk-Mel-103,6,shControl,4
Sk-Mel-103,6,shControl,4
Sk-Mel-103,7,shControl,7
Sk-Mel-103,7,shControl,8
Sk-Mel-103,7,shControl,9
Sk-Mel-103,8,shControl,14
Sk-Mel-103,8,shControl,15
Sk-Mel-103,8,shControl,16
Sk-Mel-103,9,shControl,29
Sk-Mel-103,9,shControl,31
Sk-Mel-103,9,shControl,32
Sk-Mel-103,10,shControl,36
Sk-Mel-103,10,shControl,40
Sk-Mel-103,10,shControl,46
Sk-Mel-103,5,sh-CELF1-1,0
Sk-Mel-103,5,sh-CELF1-1,0
Sk-Mel-103,5,sh-CELF1-1,1
Sk-Mel-103,6,sh-CELF1-1,1
Sk-Mel-103,6,sh-CELF1-1,1
Sk-Mel-103,6,sh-CELF1-1,2
Sk-Mel-103,7,sh-CELF1-1,2
Sk-Mel-103,7,sh-CELF1-1,2
Sk-Mel-103,7,sh-CELF1-1,3
Sk-Mel-103,8,sh-CELF1-1,3
Sk-Mel-103,8,sh-CELF1-1,3
Sk-Mel-103,8,sh-CELF1-1,4
Sk-Mel-103,9,sh-CELF1-1,5
Sk-Mel-103,9,sh-CELF1-1,6
Sk-Mel-103,9,sh-CELF1-1,7
Sk-Mel-103,10,sh-CELF1-1,9
Sk-Mel-103,10,sh-CELF1-1,10
Sk-Mel-103,10,sh-CELF1-1,13
Sk-Mel-103,5,sh-CELF1-2,0
Sk-Mel-103,5,sh-CELF1-2,0
Sk-Mel-103,5,sh-CELF1-2,1
Sk-Mel-103,6,sh-CELF1-2,1
Sk-Mel-103,6,sh-CELF1-2,1
Sk-Mel-103,6,sh-CELF1-2,2
Sk-Mel-103,7,sh-CELF1-2,2
Sk-Mel-103,7,sh-CELF1-2,2
Sk-Mel-103,7,sh-CELF1-2,3
Sk-Mel-103,8,sh-CELF1-2,3
Sk-Mel-103,8,sh-CELF1-2,3
Sk-Mel-103,8,sh-CELF1-2,4
Sk-Mel-103,9,sh-CELF1-2,5
Sk-Mel-103,9,sh-CELF1-2,5
Sk-Mel-103,9,sh-CELF1-2,6
Sk-Mel-103,10,sh-CELF1-2,9
Sk-Mel-103,10,sh-CELF1-2,10
Sk-Mel-103,10,sh-CELF1-2,9
UACC-62,5,shControl,1
UACC-62,5,shControl,1
UACC-62,5,shControl,1
UACC-62,6,shControl,2
UACC-62,6,shControl,3
UACC-62,6,shControl,3
UACC-62,7,shControl,3
UACC-62,7,shControl,3
UACC-62,7,shControl,4
UACC-62,8,shControl,3
UACC-62,8,shControl,4
UACC-62,8,shControl,5
UACC-62,9,shControl,5
UACC-62,9,shControl,6
UACC-62,9,shControl,8
UACC-62,10,shControl,12
UACC-62,10,shControl,13
UACC-62,10,shControl,14
UACC-62,5,sh-CELF1-1,1.2
UACC-62,5,sh-CELF1-1,1
UACC-62,5,sh-CELF1-1,1
UACC-62,6,sh-CELF1-1,1.2
UACC-62,6,sh-CELF1-1,1.2
UACC-62,6,sh-CELF1-1,1.2
UACC-62,7,sh-CELF1-1,1.1
UACC-62,7,sh-CELF1-1,1.1
UACC-62,7,sh-CELF1-1,1.1
UACC-62,8,sh-CELF1-1,0.9
UACC-62,8,sh-CELF1-1,0.9
UACC-62,8,sh-CELF1-1,0.7
UACC-62,9,sh-CELF1-1,0.6
UACC-62,9,sh-CELF1-1,0.6
UACC-62,9,sh-CELF1-1,0.6
UACC-62,10,sh-CELF1-1,0.6
UACC-62,10,sh-CELF1-1,0.6
UACC-62,10,sh-CELF1-1,0.6
UACC-62,5,sh-CELF1-2,0.8
UACC-62,5,sh-CELF1-2,1
UACC-62,5,sh-CELF1-2,0.9
UACC-62,6,sh-CELF1-2,0.85
UACC-62,6,sh-CELF1-2,0.85
UACC-62,6,sh-CELF1-2,0.85
UACC-62,7,sh-CELF1-2,0.75
UACC-62,7,sh-CELF1-2,0.75
UACC-62,7,sh-CELF1-2,0.8
UACC-62,8,sh-CELF1-2,0.7
UACC-62,8,sh-CELF1-2,0.7
UACC-62,8,sh-CELF1-2,0.65
UACC-62,9,sh-CELF1-2,0.6
UACC-62,9,sh-CELF1-2,0.5
UACC-62,9,sh-CELF1-2,0.5
UACC-62,10,sh-CELF1-2,0.5
UACC-62,10,sh-CELF1-2,0.6
UACC-62,10,sh-CELF1-2,0.6